[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 68\n    [post_author] => 1\n    [post_date] => 2013-04-19 14:54:08\n    [post_date_gmt] => 2013-04-19 13:54:08\n    [post_content] => \n    [post_title] => O Festivalu\n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => o-festivalu\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:10\n    [post_modified_gmt] => 2013-05-17 19:56:10\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=68\n    [menu_order] => 1\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 68\n    [menu_item_parent] => 0\n    [object_id] => 41\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/tema/\n    [title] => O Festivalu\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 67\n    [post_author] => 1\n    [post_date] => 2013-04-19 14:54:08\n    [post_date_gmt] => 2013-04-19 13:54:08\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 67\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:10\n    [post_modified_gmt] => 2013-05-17 19:56:10\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=67\n    [menu_order] => 2\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 67\n    [menu_item_parent] => 68\n    [object_id] => 41\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/tema/\n    [title] => T\xc3\xa9ma\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 66\n    [post_author] => 1\n    [post_date] => 2013-04-19 14:54:08\n    [post_date_gmt] => 2013-04-19 13:54:08\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 66\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:10\n    [post_modified_gmt] => 2013-05-17 19:56:10\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=66\n    [menu_order] => 3\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 66\n    [menu_item_parent] => 68\n    [object_id] => 43\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/vstupne/\n    [title] => Vstupn\xc3\xa9\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 65\n    [post_author] => 1\n    [post_date] => 2013-04-19 14:54:08\n    [post_date_gmt] => 2013-04-19 13:54:08\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 65\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:10\n    [post_modified_gmt] => 2013-05-17 19:56:10\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=65\n    [menu_order] => 4\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 65\n    [menu_item_parent] => 68\n    [object_id] => 45\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/soutez/\n    [title] => Sout\xc4\x9b\xc5\xbe\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 117\n    [post_author] => 1\n    [post_date] => 2013-04-22 20:12:35\n    [post_date_gmt] => 2013-04-22 19:12:35\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 117\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:10\n    [post_modified_gmt] => 2013-05-17 19:56:10\n    [post_content_filtered] => \n    [post_parent] => 45\n    [guid] => http://www.famufest2013.cz:8080/?p=117\n    [menu_order] => 5\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 117\n    [menu_item_parent] => 65\n    [object_id] => 112\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/soutez/kategorie/\n    [title] => Kategorie\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 118\n    [post_author] => 1\n    [post_date] => 2013-04-22 20:12:35\n    [post_date_gmt] => 2013-04-22 19:12:35\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 118\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:10\n    [post_modified_gmt] => 2013-05-17 19:56:10\n    [post_content_filtered] => \n    [post_parent] => 45\n    [guid] => http://www.famufest2013.cz:8080/?p=118\n    [menu_order] => 6\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 118\n    [menu_item_parent] => 65\n    [object_id] => 110\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/soutez/porota/\n    [title] => Porota\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 116\n    [post_author] => 1\n    [post_date] => 2013-04-22 20:12:35\n    [post_date_gmt] => 2013-04-22 19:12:35\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 116\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:10\n    [post_modified_gmt] => 2013-05-17 19:56:10\n    [post_content_filtered] => \n    [post_parent] => 45\n    [guid] => http://www.famufest2013.cz:8080/?p=116\n    [menu_order] => 7\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 116\n    [menu_item_parent] => 65\n    [object_id] => 114\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/soutez/ceny/\n    [title] => Ceny\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 64\n    [post_author] => 1\n    [post_date] => 2013-04-19 14:54:08\n    [post_date_gmt] => 2013-04-19 13:54:08\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 64\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:10\n    [post_modified_gmt] => 2013-05-17 19:56:10\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=64\n    [menu_order] => 8\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 64\n    [menu_item_parent] => 68\n    [object_id] => 47\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/hoste/\n    [title] => Host\xc3\xa9\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 63\n    [post_author] => 1\n    [post_date] => 2013-04-19 14:54:08\n    [post_date_gmt] => 2013-04-19 13:54:08\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 63\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:10\n    [post_modified_gmt] => 2013-05-17 19:56:10\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=63\n    [menu_order] => 9\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 63\n    [menu_item_parent] => 68\n    [object_id] => 49\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/festivalovy-stab/\n    [title] => Festivalov\xc3\xbd \xc5\xa1t\xc3\xa1b\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 62\n    [post_author] => 1\n    [post_date] => 2013-04-19 14:54:09\n    [post_date_gmt] => 2013-04-19 13:54:09\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 62\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:11\n    [post_modified_gmt] => 2013-05-17 19:56:11\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=62\n    [menu_order] => 10\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 62\n    [menu_item_parent] => 68\n    [object_id] => 51\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/vizual-a-znelky/\n    [title] => Vizu\xc3\xa1l/Zn\xc4\x9blky\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 61\n    [post_author] => 1\n    [post_date] => 2013-04-19 14:54:09\n    [post_date_gmt] => 2013-04-19 13:54:09\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 61\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:11\n    [post_modified_gmt] => 2013-05-17 19:56:11\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=61\n    [menu_order] => 11\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 61\n    [menu_item_parent] => 68\n    [object_id] => 53\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/partneri/\n    [title] => Partne\xc5\x99i/Sponzo\xc5\x99i\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 81\n    [post_author] => 1\n    [post_date] => 2013-04-21 15:38:18\n    [post_date_gmt] => 2013-04-21 14:38:18\n    [post_content] => \n    [post_title] => Filmy\n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => filmy\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:11\n    [post_modified_gmt] => 2013-05-17 19:56:11\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=81\n    [menu_order] => 12\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 81\n    [menu_item_parent] => 0\n    [object_id] => 81\n    [object] => custom\n    [type] => custom\n    [type_label] => U\xc5\xbeivatelsk\xc3\xbd odkaz\n    [title] => Filmy\n    [url] => http://www.famufest2013.cz:8080/movies\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-custom\n            [3] => menu-item-object-custom\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 192\n    [post_author] => 1\n    [post_date] => 2013-04-28 11:42:25\n    [post_date_gmt] => 2013-04-28 10:42:25\n    [post_content] =>  \n    [post_title] => \n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => 192\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:11\n    [post_modified_gmt] => 2013-05-17 19:56:11\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=192\n    [menu_order] => 13\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 192\n    [menu_item_parent] => 81\n    [object_id] => 190\n    [object] => page\n    [type] => post_type\n    [type_label] => Str\xc3\xa1nka\n    [url] => http://www.famufest2013.cz:8080/prihlaska/\n    [title] => P\xc5\x99ihl\xc3\xa1\xc5\xa1ka\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-post_type\n            [3] => menu-item-object-page\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 85\n    [post_author] => 1\n    [post_date] => 2013-04-21 20:24:11\n    [post_date_gmt] => 2013-04-21 19:24:11\n    [post_content] => \n    [post_title] => Auto\xc5\x99i\n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => autori\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:11\n    [post_modified_gmt] => 2013-05-17 19:56:11\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=85\n    [menu_order] => 14\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 85\n    [menu_item_parent] => 81\n    [object_id] => 85\n    [object] => custom\n    [type] => custom\n    [type_label] => U\xc5\xbeivatelsk\xc3\xbd odkaz\n    [title] => Auto\xc5\x99i\n    [url] => http://www.famufest2013.cz:8080/authors/\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-custom\n            [3] => menu-item-object-custom\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
[Sun May 19 18:40:42 2013] [error] [client 127.0.0.1] WP_Post Object\n(\n    [ID] => 106\n    [post_author] => 1\n    [post_date] => 2013-04-22 20:07:16\n    [post_date_gmt] => 2013-04-22 19:07:16\n    [post_content] => \n    [post_title] => Filmy\n    [post_excerpt] => \n    [post_status] => publish\n    [comment_status] => closed\n    [ping_status] => open\n    [post_password] => \n    [post_name] => filmy-2\n    [to_ping] => \n    [pinged] => \n    [post_modified] => 2013-05-17 20:56:11\n    [post_modified_gmt] => 2013-05-17 19:56:11\n    [post_content_filtered] => \n    [post_parent] => 0\n    [guid] => http://www.famufest2013.cz:8080/?p=106\n    [menu_order] => 15\n    [post_type] => nav_menu_item\n    [post_mime_type] => \n    [comment_count] => 0\n    [filter] => raw\n    [db_id] => 106\n    [menu_item_parent] => 81\n    [object_id] => 106\n    [object] => custom\n    [type] => custom\n    [type_label] => U\xc5\xbeivatelsk\xc3\xbd odkaz\n    [title] => Filmy\n    [url] => http://www.famufest2013.cz:8080/movies\n    [target] => \n    [attr_title] => \n    [description] => \n    [classes] => Array\n        (\n            [0] => \n            [1] => menu-item\n            [2] => menu-item-type-custom\n            [3] => menu-item-object-custom\n        )\n\n    [xfn] => \n    [current] => \n    [current_item_ancestor] => \n    [current_item_parent] => \n)\n, referer: http://www.famufest2013.cz:8080/movie/maly-princ/
